mins 0 , noise_error =0.9797979797979798
mins 1 , noise_error =0.9787234042553191
mins 2 , noise_error =0.967741935483871
mins 3 , noise_error =0.9411764705882353
mins 4 , noise_error =1.0
mins 5 , noise_error =1.0
mins 6 , noise_error =1.0
mins 7 , noise_error =1.0
mins 8 , noise_error =0.9897959183673469
mins 9 , noise_error =1.0
mins 10 , noise_error =0.9896907216494846
mins 11 , noise_error =1.0
mins 12 , noise_error =1.0
mins 13 , noise_error =0.9795918367346939
mins 14 , noise_error =1.0
mins 15 , noise_error =1.0
mins 16 , noise_error =0.95
mins 17 , noise_error =1.0
mins 18 , noise_error =1.0
mins 19 , noise_error =0.98
mins 20 , noise_error =0.9207920792079208
mins 21 , noise_error =1.0
mins 22 , noise_error =1.0
mins 23 , noise_error =0.9270833333333334
mins 24 , noise_error =0.8214285714285714
mins 25 , noise_error =0.7666666666666666
mins 26 , noise_error =0.8288288288288288
mins 27 , noise_error =0.8349514563106796
mins 28 , noise_error =0.8256880733944953
mins 29 , noise_error =0.7241379310344828
mins 30 , noise_error =0.8818181818181818
mins 31 , noise_error =0.9583333333333334
mins 32 , noise_error =1.0
mins 33 , noise_error =1.0
mins 34 , noise_error =0.7777777777777778
mins 35 , noise_error =0.7545454545454545
mins 36 , noise_error =0.9238095238095239
mins 37 , noise_error =1.0
mins 38 , noise_error =0.9666666666666667
mins 39 , noise_error =1.0
mins 40 , noise_error =1.0
mins 41 , noise_error =1.0
mins 42 , noise_error =1.0
mins 43 , noise_error =0.8865979381443299
mins 44 , noise_error =0.9357798165137614
mins 45 , noise_error =0.9150943396226415
mins 46 , noise_error =0.98989898989899
mins 47 , noise_error =1.0
mins 48 , noise_error =1.0
mins 49 , noise_error =1.0
mins 50 , noise_error =0.9247311827956989
mins 51 , noise_error =0.9775280898876404
mins 52 , noise_error =1.0
mins 53 , noise_error =1.0
mins 54 , noise_error =0.9885057471264368
mins 55 , noise_error =1.0
mins 56 , noise_error =1.0
mins 57 , noise_error =1.0
mins 58 , noise_error =1.0
mins 59 , noise_error =1.0
mins 60 , noise_error =1.0
mins 61 , noise_error =1.0
mins 62 , noise_error =1.0
mins 63 , noise_error =1.0
mins 64 , noise_error =1.0
mins 65 , noise_error =0.9213483146067416
mins 66 , noise_error =1.0
mins 67 , noise_error =1.0
mins 68 , noise_error =1.0
mins 69 , noise_error =1.0
mins 70 , noise_error =1.0
mins 71 , noise_error =1.0
mins 72 , noise_error =1.0
mins 73 , noise_error =1.0
mins 74 , noise_error =0.9885057471264368
mins 75 , noise_error =1.0
mins 76 , noise_error =1.0
mins 77 , noise_error =1.0
mins 78 , noise_error =1.0
mins 79 , noise_error =1.0
mins 80 , noise_error =1.0
mins 81 , noise_error =1.0
mins 82 , noise_error =1.0
mins 83 , noise_error =1.0
mins 84 , noise_error =1.0
mins 85 , noise_error =1.0
mins 86 , noise_error =1.0
mins 87 , noise_error =1.0
mins 88 , noise_error =1.0
mins 89 , noise_error =1.0
mins 90 , noise_error =1.0
mins 91 , noise_error =1.0
mins 92 , noise_error =1.0
mins 93 , noise_error =1.0
mins 94 , noise_error =0.9368421052631579
mins 95 , noise_error =1.0
mins 96 , noise_error =0.8105263157894737
mins 97 , noise_error =0.9895833333333334
mins 98 , noise_error =0.9444444444444444
mins 99 , noise_error =0.8775510204081632
mins 100 , noise_error =0.9565217391304348
mins 101 , noise_error =0.9591836734693877
mins 102 , noise_error =0.9042553191489362
mins 103 , noise_error =0.9587628865979382
mins 104 , noise_error =0.9361702127659575
mins 105 , noise_error =0.9361702127659575
mins 106 , noise_error =0.9292035398230089
mins 107 , noise_error =1.0
mins 108 , noise_error =0.9911504424778761
mins 109 , noise_error =0.9739130434782609
