mins 0 , noise_error =0.9907407407407407
mins 1 , noise_error =1.0
mins 2 , noise_error =1.0
mins 3 , noise_error =1.0
mins 4 , noise_error =1.0
mins 5 , noise_error =1.0
mins 6 , noise_error =1.0
mins 7 , noise_error =1.0
mins 8 , noise_error =1.0
mins 9 , noise_error =1.0
mins 10 , noise_error =1.0
mins 11 , noise_error =1.0
mins 12 , noise_error =1.0
mins 13 , noise_error =1.0
mins 14 , noise_error =1.0
mins 15 , noise_error =1.0
mins 16 , noise_error =1.0
mins 17 , noise_error =1.0
mins 18 , noise_error =1.0
mins 19 , noise_error =1.0
mins 20 , noise_error =1.0
mins 21 , noise_error =1.0
mins 22 , noise_error =1.0
mins 23 , noise_error =1.0
mins 24 , noise_error =1.0
mins 25 , noise_error =1.0
mins 26 , noise_error =1.0
mins 27 , noise_error =1.0
mins 28 , noise_error =1.0
mins 29 , noise_error =1.0
mins 30 , noise_error =1.0
mins 31 , noise_error =1.0
mins 32 , noise_error =0.981651376146789
mins 33 , noise_error =1.0
mins 34 , noise_error =1.0
mins 35 , noise_error =0.9908256880733946
mins 36 , noise_error =1.0
mins 37 , noise_error =1.0
mins 38 , noise_error =0.9818181818181818
mins 39 , noise_error =1.0
mins 40 , noise_error =1.0
mins 41 , noise_error =1.0
mins 42 , noise_error =1.0
mins 43 , noise_error =1.0
mins 44 , noise_error =1.0
mins 45 , noise_error =1.0
mins 46 , noise_error =1.0
mins 47 , noise_error =1.0
mins 48 , noise_error =1.0
mins 49 , noise_error =1.0
mins 50 , noise_error =1.0
mins 51 , noise_error =1.0
mins 52 , noise_error =1.0
mins 53 , noise_error =1.0
mins 54 , noise_error =0.9887640449438202
mins 55 , noise_error =1.0
mins 56 , noise_error =1.0
mins 57 , noise_error =1.0
mins 58 , noise_error =1.0
mins 59 , noise_error =1.0
mins 60 , noise_error =1.0
mins 61 , noise_error =0.978021978021978
mins 62 , noise_error =1.0
mins 63 , noise_error =1.0
mins 64 , noise_error =1.0
mins 65 , noise_error =1.0
mins 66 , noise_error =1.0
mins 67 , noise_error =1.0
mins 68 , noise_error =0.9818181818181818
mins 69 , noise_error =1.0
mins 70 , noise_error =1.0
mins 71 , noise_error =0.9357798165137614
mins 72 , noise_error =0.8468468468468469
mins 73 , noise_error =0.9907407407407407
mins 74 , noise_error =0.9727272727272728
mins 75 , noise_error =1.0
mins 76 , noise_error =1.0
mins 77 , noise_error =1.0
mins 78 , noise_error =1.0
mins 79 , noise_error =1.0
mins 80 , noise_error =1.0
mins 81 , noise_error =1.0
mins 82 , noise_error =1.0
mins 83 , noise_error =1.0
mins 84 , noise_error =1.0
mins 85 , noise_error =1.0
mins 86 , noise_error =1.0
mins 87 , noise_error =1.0
mins 88 , noise_error =1.0
mins 89 , noise_error =1.0
mins 90 , noise_error =1.0
mins 91 , noise_error =1.0
mins 92 , noise_error =1.0
mins 93 , noise_error =1.0
mins 94 , noise_error =1.0
mins 95 , noise_error =1.0
mins 96 , noise_error =1.0
mins 97 , noise_error =1.0
mins 98 , noise_error =1.0
mins 99 , noise_error =1.0
