mins 1050 , noise_error =1.0
mins 1051 , noise_error =1.0
mins 1052 , noise_error =1.0
mins 1053 , noise_error =1.0
mins 1054 , noise_error =1.0
mins 1055 , noise_error =1.0
mins 1056 , noise_error =1.0
mins 1057 , noise_error =1.0
mins 1058 , noise_error =1.0
mins 1059 , noise_error =1.0
mins 1060 , noise_error =1.0
mins 1061 , noise_error =1.0
mins 1062 , noise_error =0.9775280898876404
mins 1063 , noise_error =0.979381443298969
mins 1064 , noise_error =1.0
mins 1065 , noise_error =1.0
mins 1066 , noise_error =1.0
mins 1067 , noise_error =1.0
mins 1068 , noise_error =1.0
mins 1069 , noise_error =0.9868421052631579
mins 1070 , noise_error =1.0
mins 1071 , noise_error =1.0
mins 1072 , noise_error =1.0
mins 1073 , noise_error =1.0
mins 1074 , noise_error =1.0
mins 1075 , noise_error =0.9761904761904762
mins 1076 , noise_error =1.0
mins 1077 , noise_error =1.0
mins 1078 , noise_error =1.0
mins 1079 , noise_error =1.0
mins 1080 , noise_error =1.0
mins 1081 , noise_error =1.0
mins 1082 , noise_error =1.0
mins 1083 , noise_error =1.0
mins 1084 , noise_error =1.0
mins 1085 , noise_error =1.0
mins 1086 , noise_error =1.0
mins 1087 , noise_error =1.0
mins 1088 , noise_error =1.0
mins 1089 , noise_error =1.0
mins 1090 , noise_error =1.0
mins 1091 , noise_error =1.0
mins 1092 , noise_error =1.0
mins 1093 , noise_error =1.0
mins 1094 , noise_error =1.0
mins 1095 , noise_error =1.0
mins 1096 , noise_error =0.9772727272727273
mins 1097 , noise_error =1.0
mins 1098 , noise_error =1.0
mins 1099 , noise_error =1.0
mins 1100 , noise_error =1.0
mins 1101 , noise_error =1.0
mins 1102 , noise_error =1.0
mins 1103 , noise_error =1.0
mins 1104 , noise_error =1.0
mins 1105 , noise_error =1.0
mins 1106 , noise_error =1.0
mins 1107 , noise_error =1.0
mins 1108 , noise_error =1.0
mins 1109 , noise_error =1.0
mins 1110 , noise_error =1.0
mins 1111 , noise_error =1.0
mins 1112 , noise_error =1.0
mins 1113 , noise_error =0.9886363636363636
mins 1114 , noise_error =1.0
mins 1115 , noise_error =1.0
mins 1116 , noise_error =1.0
mins 1117 , noise_error =1.0
mins 1118 , noise_error =1.0
mins 1119 , noise_error =1.0
mins 1120 , noise_error =1.0
mins 1121 , noise_error =0.9902912621359223
mins 1122 , noise_error =1.0
mins 1123 , noise_error =1.0
mins 1124 , noise_error =1.0
mins 1125 , noise_error =1.0
mins 1126 , noise_error =1.0
mins 1127 , noise_error =1.0
mins 1128 , noise_error =1.0
mins 1129 , noise_error =1.0
mins 1130 , noise_error =1.0
mins 1131 , noise_error =1.0
mins 1132 , noise_error =1.0
mins 1133 , noise_error =1.0
mins 1134 , noise_error =1.0
mins 1135 , noise_error =1.0
mins 1136 , noise_error =1.0
mins 1137 , noise_error =1.0
mins 1138 , noise_error =1.0
mins 1139 , noise_error =1.0
mins 1140 , noise_error =0.989247311827957
mins 1141 , noise_error =0.9893617021276596
mins 1142 , noise_error =1.0
mins 1143 , noise_error =1.0
mins 1144 , noise_error =1.0
mins 1145 , noise_error =1.0
mins 1146 , noise_error =1.0
mins 1147 , noise_error =0.9871794871794872
mins 1148 , noise_error =1.0
mins 1149 , noise_error =1.0
mins 1150 , noise_error =0.9875
mins 1151 , noise_error =1.0
mins 1152 , noise_error =1.0
mins 1153 , noise_error =1.0
mins 1154 , noise_error =1.0
mins 1155 , noise_error =0.9866666666666667
mins 1156 , noise_error =1.0
mins 1157 , noise_error =1.0
mins 1158 , noise_error =1.0
mins 1159 , noise_error =1.0
mins 1160 , noise_error =0.9861111111111112
mins 1161 , noise_error =1.0
mins 1162 , noise_error =1.0
mins 1163 , noise_error =1.0
mins 1164 , noise_error =1.0
mins 1165 , noise_error =1.0
mins 1166 , noise_error =1.0
mins 1167 , noise_error =1.0
mins 1168 , noise_error =1.0
mins 1169 , noise_error =1.0
mins 1170 , noise_error =1.0
mins 1171 , noise_error =1.0
mins 1172 , noise_error =0.9746835443037974
mins 1173 , noise_error =1.0
mins 1174 , noise_error =1.0
mins 1175 , noise_error =1.0
mins 1176 , noise_error =1.0
mins 1177 , noise_error =1.0
mins 1178 , noise_error =1.0
mins 1179 , noise_error =1.0
mins 1180 , noise_error =1.0
mins 1181 , noise_error =1.0
mins 1182 , noise_error =0.9875
mins 1183 , noise_error =1.0
mins 1184 , noise_error =1.0
mins 1185 , noise_error =1.0
mins 1186 , noise_error =1.0
mins 1187 , noise_error =1.0
mins 1188 , noise_error =1.0
mins 1189 , noise_error =1.0
mins 1190 , noise_error =1.0
mins 1191 , noise_error =1.0
mins 1192 , noise_error =0.9693877551020408
mins 1193 , noise_error =1.0
mins 1194 , noise_error =1.0
mins 1195 , noise_error =1.0
mins 1196 , noise_error =0.9885057471264368
mins 1197 , noise_error =1.0
mins 1198 , noise_error =1.0
mins 1199 , noise_error =1.0
mins 1200 , noise_error =1.0
mins 1201 , noise_error =1.0
mins 1202 , noise_error =1.0
mins 1203 , noise_error =1.0
mins 1204 , noise_error =1.0
mins 1205 , noise_error =1.0
mins 1206 , noise_error =1.0
mins 1207 , noise_error =1.0
mins 1208 , noise_error =1.0
mins 1209 , noise_error =1.0
mins 1210 , noise_error =1.0
mins 1211 , noise_error =1.0
mins 1212 , noise_error =0.9130434782608696
mins 1213 , noise_error =1.0
mins 1214 , noise_error =1.0
mins 1215 , noise_error =1.0
mins 1216 , noise_error =1.0
mins 1217 , noise_error =1.0
mins 1218 , noise_error =1.0
mins 1219 , noise_error =1.0
mins 1220 , noise_error =1.0
mins 1221 , noise_error =1.0
mins 1222 , noise_error =1.0
mins 1223 , noise_error =1.0
mins 1224 , noise_error =0.9913793103448276
mins 1225 , noise_error =1.0
mins 1226 , noise_error =1.0
mins 1227 , noise_error =0.9387755102040817
mins 1228 , noise_error =1.0
mins 1229 , noise_error =1.0
mins 1230 , noise_error =1.0
mins 1231 , noise_error =1.0
mins 1232 , noise_error =1.0
mins 1233 , noise_error =1.0
mins 1234 , noise_error =1.0
mins 1235 , noise_error =1.0
mins 1236 , noise_error =1.0
mins 1237 , noise_error =1.0
mins 1238 , noise_error =1.0
mins 1239 , noise_error =1.0
mins 1240 , noise_error =1.0
mins 1241 , noise_error =1.0
mins 1242 , noise_error =0.979381443298969
mins 1243 , noise_error =0.9911504424778761
mins 1244 , noise_error =1.0
mins 1245 , noise_error =1.0
mins 1246 , noise_error =0.9801980198019802
mins 1247 , noise_error =1.0
mins 1248 , noise_error =1.0
mins 1249 , noise_error =1.0
mins 1250 , noise_error =1.0
mins 1251 , noise_error =1.0
mins 1252 , noise_error =1.0
mins 1253 , noise_error =1.0
mins 1254 , noise_error =1.0
mins 1255 , noise_error =1.0
mins 1256 , noise_error =1.0
mins 1257 , noise_error =0.978494623655914
mins 1258 , noise_error =1.0
mins 1259 , noise_error =1.0
mins 1260 , noise_error =1.0
mins 1261 , noise_error =1.0
mins 1262 , noise_error =1.0
mins 1263 , noise_error =1.0
mins 1264 , noise_error =1.0
mins 1265 , noise_error =0.98
mins 1266 , noise_error =1.0
mins 1267 , noise_error =1.0
mins 1268 , noise_error =1.0
mins 1269 , noise_error =1.0
mins 1270 , noise_error =1.0
mins 1271 , noise_error =1.0
mins 1272 , noise_error =1.0
mins 1273 , noise_error =0.9797979797979798
mins 1274 , noise_error =1.0
mins 1275 , noise_error =1.0
mins 1276 , noise_error =1.0
mins 1277 , noise_error =1.0
mins 1278 , noise_error =1.0
mins 1279 , noise_error =1.0
